domain,business_name,cohort,industry,country,state_province,region,discovery_source,discovery_date,ownership_status,parent_company,ownership_evidence,enterprise_scale_flag,employee_range,revenue_range,independence_verified,enterprise_subsidiary_check,marketplace_check,eligible,eligibility_notes
"blackwing602.com","Blackwing Specialty Stationery","Miscellaneous Independent","Specialty Stationery & Pencils","USA","CA","West","California Retail Register","2026-08-31","INDEPENDENT_CONFIRMED","California Cedar Products Co. (Family Owned)","100% independent family-owned specialty stationery manufacturer in Stockton, CA (https://blackwing602.com/pages/about-us)","SMB","25-50","$8M-$18M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"fishseddy.com","Fishs Eddy Artisan Tableware","Miscellaneous Independent","Iconic Ceramics & Tableware","USA","NY","Northeast","New York Retail Register","2026-08-31","INDEPENDENT_CONFIRMED","Founder Owned (Julie Gaines & Sal Gaines)","100% independent iconic ceramic store in New York, NY (889 Broadway, New York, NY 10003; https://fishseddy.com/pages/about-us)","SMB","15-35","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"poketo.com","Poketo Design Goods","Miscellaneous Independent","Artisan Stationery & Home Design","USA","CA","West","California Retail Register","2026-08-31","INDEPENDENT_CONFIRMED","Founder Owned (Ted Vadakan & Angie Myung)","100% independent design studio in Los Angeles, CA (https://www.poketo.com/pages/about-us)","SMB","15-35","$4M-$10M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"luluandgeorgia.com","Lulu & Georgia Decor","Miscellaneous Independent","Modern Interior Furnishings","USA","CA","West","California Interior Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent interior furnishings brand (https://luluandgeorgia.com/pages/about-us)","SMB","40-80","$15M-$35M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"mcgeeandco.com","McGee & Co. Home Goods","Miscellaneous Independent","Curated Home Furnishings","USA","UT","West","Utah Small Business Register","2026-08-31","INDEPENDENT_CONFIRMED","Studio McGee LLC","Independent home design studio (https://mcgeeandco.com/pages/about)","SMB","40-80","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"jaysonhome.com","Jayson Home Vintage Goods","Miscellaneous Independent","Vintage Furnishings & Botanicals","USA","IL","Midwest","Illinois Retail Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent vintage furnishings store (https://jaysonhome.com/pages/about-us)","SMB","20-40","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"mille.com","MILLE Boutique & Design","Miscellaneous Independent","Specialty Apparel & Fine Goods","USA","MN","Midwest","Minnesota Retail Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent specialty boutique (https://shopmille.com/pages/about)","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"goodneighbor.ca","Good Neighbor Goods","Miscellaneous Independent","Specialty Gifts & Apparel","Canada","ON","Canada","Ontario Retail Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent Canadian gift store (https://goodneighbor.ca/pages/about)","SMB","5-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"coalandcanary.com","Coal and Canary Candle Co","Miscellaneous Independent","Artisan Candles & Canadian Gifts","Canada","MB","Canada","Canadian Crafts Index","2026-08-31","INDEPENDENT_CONFIRMED","Founder Owned","100% independent Canadian artisan candle company in Winnipeg, MB (https://www.coalandcanary.com/pages/about-us)","SMB","10-25","$2M-$6M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"baronfig.com","Baronfig EDC & Paper Goods","Miscellaneous Independent","Custom Notebooks & EDC Tools","USA","NY","Northeast","New York Specialty Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent paper & EDC goods maker in New York, NY (https://baronfig.com/pages/about)","SMB","15-30","$3M-$8M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"adafruit.com","Adafruit Electronics","Miscellaneous Independent","DIY Electronics & Hardware","USA","NY","Northeast","New York Business Index","2026-08-31","INDEPENDENT_CONFIRMED","100% Female Owned","Female-owned electronics maker (https://adafruit.com/about)","SMB","50-100","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"coalandcanary.com","Coal and Canary Candle Co","Miscellaneous Independent","Artisan Candles & Canadian Gifts","Canada","MB","Canada","Canadian Crafts Index","2026-08-31","INDEPENDENT_CONFIRMED","Founder Owned","100% independent Canadian artisan candle company in Winnipeg, MB (https://www.coalandcanary.com/pages/about-us)","SMB","10-25","$2M-$6M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"sprucecollective.com","Spruce Collective Goods","Miscellaneous Independent","Canadian Artisan Decor & Lifestyle","Canada","BC","Canada","BC Retail Index","2026-08-31","INDEPENDENT_CONFIRMED","Founder Owned","100% independent Canadian artisan home goods merchant in Abbotsford, BC (https://sprucecollective.com/pages/about-us)","SMB","10-25","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"nicheacademy.com","Niche Academy EdTech","Miscellaneous Independent","Specialty Online Learning Platform","USA","UT","West","Education Tech Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent EdTech SMB in Lehi, UT (https://www.nicheacademy.com/about-us)","SMB","20-40","$4M-$10M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
